date,year,month,country,province_id,province_name,no2_mean,dnb_mean,dnb_total_lum,ndvi_cropland,port_calls_total,import_mt_total,thermal_n_plants_operational,fx_cup_per_usd_informal
2019-01-01,2019,1,Cuba,artemisa,Artemisa,1.8819570723955597e-05,1.5519993693170329,3307400428.527144,0.5409980898947253,144,1184575,0.0,
2019-02-01,2019,2,Cuba,artemisa,Artemisa,1.6391333994686132e-05,1.5479754181114198,3298825155.7500205,0.5408240036725742,136,859949,0.0,
2019-03-01,2019,3,Cuba,artemisa,Artemisa,1.8204970067152515e-05,1.824213887448243,3887505312.4064894,0.4583532282328305,146,1017441,0.0,
2019-04-01,2019,4,Cuba,artemisa,Artemisa,1.7676671306307172e-05,1.8816884150446416,4009986855.221404,0.4404470575768623,148,978498,0.0,
2019-05-01,2019,5,Cuba,artemisa,Artemisa,1.428847424293177e-05,1.5495225453389754,3302122173.362634,0.4909916681023133,137,987518,1.0,
2019-06-01,2019,6,Cuba,artemisa,Artemisa,1.539041428914927e-05,1.5095377057682455,3216912167.3888454,0.5874074746917384,152,1015770,1.0,
2019-07-01,2019,7,Cuba,artemisa,Artemisa,1.7612401224220934e-05,1.6250847761644265,3463149658.008159,0.6219690684846746,134,771550,1.0,
2019-08-01,2019,8,Cuba,artemisa,Artemisa,1.926591842296029e-05,1.373414329501708,2926825378.7617164,0.6298149484189505,129,912659,0.0,
2019-09-01,2019,9,Cuba,artemisa,Artemisa,1.8868238548302903e-05,1.2912877056531618,2751808792.878888,0.6294900800259687,118,870103,0.0,
2019-10-01,2019,10,Cuba,artemisa,Artemisa,1.3674679172399698e-05,1.3428705483053796,2861734814.284212,0.6544443565418535,139,905735,1.0,
2019-11-01,2019,11,Cuba,artemisa,Artemisa,1.904608974922252e-05,1.4789226062554133,3151669619.453596,0.6561042624964863,124,1004699,0.0,
2019-12-01,2019,12,Cuba,artemisa,Artemisa,1.7441110555401674e-05,1.3446052807057547,2865431629.3717756,0.5687859186251676,122,820361,0.0,
2020-01-01,2020,1,Cuba,artemisa,Artemisa,1.939921500761597e-05,1.337319672088382,2849905575.985695,0.5304483548765407,122,654761,0.0,
2020-02-01,2020,2,Cuba,artemisa,Artemisa,1.6966809912221283e-05,1.496776317580368,3189716911.0017495,0.5139681361102746,111,677444,0.0,
2020-03-01,2020,3,Cuba,artemisa,Artemisa,2.3449188288111524e-05,1.832358162354888,3904861233.322962,0.3908489664630811,119,863936,1.0,
2020-04-01,2020,4,Cuba,artemisa,Artemisa,2.5855146692033916e-05,1.666628600403995,3551681950.487808,0.3252205917771973,121,883845,1.0,
2020-05-01,2020,5,Cuba,artemisa,Artemisa,1.5433169497052606e-05,1.5639499620739397,3332867832.9518895,0.6214099474557863,110,770181,0.0,
2020-06-01,2020,6,Cuba,artemisa,Artemisa,1.5875742555586667e-05,1.5987024847232438,3406927468.9124947,0.7179520106642425,127,1116703,0.0,
2020-07-01,2020,7,Cuba,artemisa,Artemisa,1.5419163493097945e-05,1.3204587427032308,2813973960.176885,0.6320309618214127,145,1296382,0.0,
2020-08-01,2020,8,Cuba,artemisa,Artemisa,1.8625185201393055e-05,1.3592937411056123,2896733588.1105037,0.6666382645756228,132,943891,1.0,
2020-09-01,2020,9,Cuba,artemisa,Artemisa,1.4765664100437269e-05,1.2127876106201985,2584520549.671871,0.6416270012614975,119,837014,0.0,
2020-10-01,2020,10,Cuba,artemisa,Artemisa,1.5083308332241442e-05,1.2712957152766693,2709204704.987139,0.6417255383213819,138,1094145,1.0,
2020-11-01,2020,11,Cuba,artemisa,Artemisa,1.3360284908825694e-05,1.4512418894324064,3092680410.764266,0.6714301910955193,117,788846,0.0,
2020-12-01,2020,12,Cuba,artemisa,Artemisa,1.716497861071158e-05,1.420152748734191,3026427653.642936,0.5717913427314214,119,624666,0.0,
2021-01-01,2021,1,Cuba,artemisa,Artemisa,1.9390506706613523e-05,1.10824830594532,2361741244.5283556,0.5537924357013304,126,755808,0.0,43.29838709677419
2021-02-01,2021,2,Cuba,artemisa,Artemisa,1.482347508022178e-05,1.5072537425675927,3212044909.696657,0.4528302039595782,117,662864,1.0,47.5625
2021-03-01,2021,3,Cuba,artemisa,Artemisa,1.829280598564183e-05,1.7929395240759278,3820857835.052793,0.4082763009003445,126,848116,1.0,48.43416666666667
2021-04-01,2021,4,Cuba,artemisa,Artemisa,1.8630557774055804e-05,1.6271512468355374,3467553426.5394435,0.3545735022868686,107,561590,1.0,50.589285714285715
2021-05-01,2021,5,Cuba,artemisa,Artemisa,2.4913385486912248e-05,1.6502969886275485,3516878341.1205387,0.3695297585237418,109,651983,0.0,57.34516129032258
